,Długość,CapsLock_śr,CapsLock_Max,CapsLock_Sum,http,font,td,statements,www,nbsp,height,pills,width,size,ect,the,to,hou,enron,for,on,i,and,deal
32,1075,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,1,0,0,3,0
33,1511,1.0,1,1,0,0,0,0,0,0,0,0,0,0,15,5,12,8,1,2,2,2,2,0
34,920,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,2,5,9
35,3625,1.0,1,1,0,0,0,0,3,0,0,0,0,0,0,8,9,0,0,11,1,0,6,0
36,241,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
37,81,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
38,414,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,0
39,778,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,2,2,0,0,0
40,436,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0
41,213,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
42,402,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0
43,135,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
44,844,1.0,1,1,0,0,0,0,0,0,0,0,0,0,10,3,2,5,0,4,2,0,0,0
45,1401,1.0,1,1,0,0,0,0,0,0,0,0,0,0,14,7,2,7,2,3,2,0,6,1
46,1640,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,5,0
47,1077,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,1,2,0,3,0
48,622,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0
49,9254,1.0,1,1,2,0,0,0,1,0,0,0,0,0,0,9,22,0,0,2,0,5,5,0
50,1656,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,1,3,3,9,0
51,62,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,327,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
53,6076,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,92,39,0,4,11,29,0,25,0
54,2112,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,2,4,0,8,2
55,203,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2
56,1231,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,3,1,0,1,0
57,401,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0
58,404,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0
59,206,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60,8669,1.0,1,1,0,0,0,11,0,0,0,0,0,0,0,73,25,0,0,11,5,0,33,0
61,1053,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,4,0,0,0,0
62,996,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,6,3,5,6,0
63,484,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,4,0,1,3,2,0,0,0
64,2621,1.0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,8,5,3,9,7,1,0,5
65,99,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,320,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0
67,714,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,4,0
68,561,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0
69,212,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3
70,350,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0
71,46,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,460,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,1,0,0,0
73,1393,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,3,1,9,5,0
74,260,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
75,501,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2465,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,21,0,9,3,2,1,12,0
77,1221,1.0,1,1,0,0,0,0,0,0,0,0,0,0,2,9,8,1,1,2,3,7,3,0
78,740,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,3,0,1,2,4,3,2,0
79,919,1.0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,9,0,10,0,0,2,3,0
80,1617,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,6,0,6,4,2,2,11,0
81,404,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
82,634,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1,0,0,0
83,99,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,376,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,3,1,0
85,2430,1.0,1,1,1,0,0,0,4,0,0,0,0,0,0,8,10,0,0,8,1,0,8,0
86,510,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,1,4,0,0
87,97,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
88,231,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0
89,80,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,275,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
91,6064,1.0,1,1,0,0,0,8,0,0,0,0,0,1,0,40,22,0,0,6,5,1,20,0
92,2804,1.0,1,1,1,0,0,0,4,0,0,0,0,0,0,9,8,0,0,9,2,0,11,0
93,877,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,74,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,2040,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,1,2,0,12,0
96,155,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,96,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,341,1.0,1,1,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0,1,0,0,0
99,237,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0
100,315,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0
101,1994,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,2,1,3,2,0
102,222,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
103,688,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,2,0,1,1,0
104,202,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,260,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,2,2,1,0
106,397,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,275,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0
108,396,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
109,419,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,430,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0
111,1213,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,2,3,5,3,3
112,1709,1.0,1,1,0,0,0,0,0,0,0,0,0,0,15,7,4,8,0,1,4,7,7,0
113,626,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,1,3,2,1,1,1,1,1
114,145,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
115,366,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,0
116,2723,1.0,1,1,0,0,0,0,0,0,0,0,0,0,32,1,16,18,3,12,7,3,3,2
117,65,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,690,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,0
119,249,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
120,95,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,210,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
122,1530,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,4,0,1,0,0
123,429,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,1,0,1,0
124,705,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0
125,673,1.0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,6,1,1,0,5,5,3,0
126,1905,1.0,1,1,1,0,0,0,4,0,0,0,0,0,0,7,8,0,0,8,1,0,6,0
127,495,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,2,1
128,803,1.0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,2,0
129,132,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,689,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,2,3,0,2,1,1,0,0
131,660,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0
132,94,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,430,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0
134,1376,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,8,3,0,0,6,2,0,2,0
135,2895,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,8,3,4,7,0
136,2081,1.0,1,1,0,0,0,0,0,0,0,0,0,0,32,9,12,16,20,1,5,9,3,0
137,2504,1.0,1,1,1,0,0,0,1,6,0,0,0,0,0,1,3,0,0,1,0,0,0,0
138,337,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,745,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,1,13,10,0
140,1370,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,10,0,3,11,2,3,1,3
141,2694,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,11,5,0,0,4,3,0,16,0
142,3403,1.0,1,1,0,0,0,0,0,0,0,0,0,0,21,15,18,12,1,5,11,12,2,1
143,593,1.0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,4,1,4,0,0,2,0,1
144,36,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,495,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
146,359,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2
147,6304,1.0,1,1,3,0,0,0,0,0,0,0,0,0,0,29,9,0,0,8,6,0,3,0
148,840,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,3,0
149,402,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
150,527,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0
151,4693,1.0,1,1,0,0,0,0,0,0,0,0,0,0,56,10,12,30,15,5,14,4,5,2
152,498,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,2,0,4
153,161,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,11,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,4308,1.0,1,1,0,0,0,0,0,0,0,0,0,0,29,25,18,16,8,6,10,5,12,3
156,954,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,0,0
157,712,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,12,6,0,0,1,1,0,1,0
158,564,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
159,503,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,1,2,2,0
160,9061,1.0,1,1,0,0,0,0,0,0,0,0,0,0,342,1,1,167,133,0,1,3,2,0
161,101,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
162,37,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,398,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0
164,414,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
165,464,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
166,385,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,1,0,0
167,1137,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,1,0,3,2,5
168,331,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0
169,1264,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,9,4,2,0,5,0,6,0,5
170,1609,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,2,7,1,5,0
171,1270,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,2,0,1,1,0
172,157,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0
173,286,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,1,0,0,0
174,201,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
175,1130,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0
176,6048,1.0,1,1,0,0,0,0,3,0,0,0,0,0,0,28,14,0,0,7,5,0,14,1
177,135,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
178,269,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
179,2959,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,1,5,1,8,0
180,33,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,325,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0
182,11,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2839,1.0,1,1,0,0,0,0,0,0,0,0,0,0,30,9,14,15,10,5,3,8,8,0
184,560,1.0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0
185,855,1.0,1,1,0,0,0,0,0,0,0,0,0,0,11,3,2,6,0,2,1,1,1,0
186,953,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,2,0,10,1,0
187,687,1.0,1,1,0,0,0,0,0,0,0,0,0,0,3,6,6,1,3,1,1,0,1,6
188,264,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
189,182,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
190,4386,1.0,1,1,0,0,0,0,0,0,0,0,0,0,21,49,24,11,13,17,15,3,13,5
191,144,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
192,234,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1
193,162,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0
194,3601,1.0,1,1,0,0,0,0,0,0,0,0,0,0,27,10,13,13,7,9,7,11,6,14
195,223,1.0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,229,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
197,423,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
198,652,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,2,4,1,1,0
199,429,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,3
200,410,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,3,0
201,2130,1.0,1,1,2,0,0,0,2,0,0,0,0,1,0,9,14,0,0,6,3,2,1,0
202,119,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
203,1983,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,12,0,5,3,5,4,0,0
204,269,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,2
205,1538,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,8,5,3,4,3,6,1,0,0
206,209,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1078,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,1,1,1,3
208,199,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1464,1.0,1,1,0,0,0,0,0,0,0,0,0,0,22,7,13,11,3,0,0,0,5,0
210,412,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
211,689,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,2,0,0,0
212,385,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0
213,2794,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,26,21,0,0,7,5,15,14,0
214,1594,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,6,4,4,4,4
215,2162,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,27,12,0,5,8,1,1,10,0
216,144,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
217,613,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
218,1090,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,1,0
219,10097,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,58,36,0,0,14,6,7,35,2
220,94,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
221,154,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
222,888,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,2,3,0,3,2,2,2,0
223,652,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,1,0
224,381,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1340,1.0,1,1,0,0,0,0,0,0,0,0,0,0,10,9,6,6,0,1,3,0,1,0
226,601,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,1,0,0,0
227,154,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
228,111,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
229,1818,1.0,1,1,0,0,0,1,2,0,0,0,0,0,0,4,7,0,1,4,1,0,9,0
230,1454,1.0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,3,5,3,3,5,0,0,0
231,244,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
232,7671,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,53,31,0,0,10,4,0,41,0
233,1874,1.0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,3348,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,13,0,5,6,6,0,28,1
235,3804,1.0,1,1,0,0,0,0,0,0,0,0,0,0,36,30,12,19,8,4,7,0,8,2
236,4733,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,40,0,0,4,5,0,21,0
237,641,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,2,2,0,1,6
238,457,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0
239,522,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,1,0
240,108,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
241,273,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
242,396,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2,2,0,4
243,160,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,466,1.0,1,1,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0
245,2701,1.0,1,1,0,0,0,0,0,0,0,0,0,0,8,7,9,5,3,9,6,3,1,5
246,258,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
247,1192,1.0,1,1,0,0,0,0,0,0,0,0,0,0,14,7,2,7,2,1,2,0,5,3
248,385,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
249,381,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2
250,277,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,577,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
252,938,1.0,1,1,0,0,0,0,0,0,0,0,0,0,7,2,1,4,0,1,2,0,1,1
253,464,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0
254,3298,1.0,1,1,0,0,0,3,0,0,0,0,0,0,0,25,11,0,12,7,6,0,23,0
255,753,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0
256,2311,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2983,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,33,12,0,0,1,6,1,8,0
258,1218,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
259,748,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,3,0,3,5
260,39,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1142,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,6,7,0,0,2,0,2,8,0
262,648,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,5,2,0,0,1,3,1,3
263,581,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,2,0
